# YSES-1b SINFONI emission data from Zhang et al. (2021), Nat, 595.

# The @DEPTH_UNITS defines the spectrum and uncert units
# (none, percent, ppt, ppm, f_lambda), with f_lambda => W m⁻² μm⁻¹
@DEPTH_UNITS
f_lambda

# The @DATA flag sets the data
# flux            flux_err         wavelength  half_width    instrument
@DATA
 8.59027851e-16   1.91890858e-17     2.179619    0.000000    sinfoni
 9.26687349e-16   2.03744824e-17     2.179870    0.000000    sinfoni
 9.00631577e-16   2.20176335e-17     2.180121    0.000000    sinfoni
 8.41952531e-16   1.94115117e-17     2.180372    0.000000    sinfoni
 8.71123804e-16   1.87885977e-17     2.180623    0.000000    sinfoni
 8.80777860e-16   1.83866797e-17     2.180874    0.000000    sinfoni
 8.89121301e-16   1.83617096e-17     2.181125    0.000000    sinfoni
 9.23009859e-16   1.84212294e-17     2.181376    0.000000    sinfoni
 9.21912519e-16   1.84847743e-17     2.181627    0.000000    sinfoni
 9.20636665e-16   1.80969843e-17     2.181878    0.000000    sinfoni
 8.82926798e-16   1.80584188e-17     2.182130    0.000000    sinfoni
 8.48520179e-16   1.80090987e-17     2.182380    0.000000    sinfoni
 8.65366479e-16   1.80622472e-17     2.182631    0.000000    sinfoni
 8.68633578e-16   1.83785951e-17     2.182883    0.000000    sinfoni
 8.55790955e-16   1.88307092e-17     2.183134    0.000000    sinfoni
 8.48067908e-16   1.84817113e-17     2.183384    0.000000    sinfoni
 8.61542106e-16   1.82315704e-17     2.183636    0.000000    sinfoni
 8.80080664e-16   1.84878586e-17     2.183887    0.000000    sinfoni
 8.86323495e-16   1.82924091e-17     2.184138    0.000000    sinfoni
 8.63834460e-16   1.84866370e-17     2.184389    0.000000    sinfoni
 8.75400417e-16   1.89722244e-17     2.184640    0.000000    sinfoni
 8.66845257e-16   1.89286943e-17     2.184891    0.000000    sinfoni
 8.71903596e-16   1.83093589e-17     2.185142    0.000000    sinfoni
 8.61888553e-16   1.81422481e-17     2.185393    0.000000    sinfoni
 8.86206563e-16   1.79824571e-17     2.185644    0.000000    sinfoni
 8.88907764e-16   1.79253540e-17     2.185896    0.000000    sinfoni
 8.50244925e-16   1.79070192e-17     2.186147    0.000000    sinfoni
 8.50857615e-16   1.78947785e-17     2.186398    0.000000    sinfoni
 8.62625907e-16   1.83866827e-17     2.186649    0.000000    sinfoni
 8.95462761e-16   1.89690398e-17     2.186900    0.000000    sinfoni
 9.24490915e-16   2.01259823e-17     2.187151    0.000000    sinfoni
 8.73568033e-16   1.92264287e-17     2.187402    0.000000    sinfoni
 8.77459279e-16   1.86739174e-17     2.187653    0.000000    sinfoni
 8.83950440e-16   1.84552244e-17     2.187904    0.000000    sinfoni
 8.90941633e-16   1.85353321e-17     2.188155    0.000000    sinfoni
